vaccine_effectiveness_strain_1,vaccine_effectiveness_strain_2,final_size_strain_1,final_size_strain_2,total_infection
0.0,0.0,0.9584,0.0036,0.9620000000000001
0.0,0.1111111111111111,0.9538,0.0046,0.9584
0.0,0.2222222222222222,0.9576,0.0022,0.9598
0.0,0.3333333333333333,0.958,0.002,0.96
0.0,0.4444444444444444,0.9536,0.0044,0.958
0.0,0.5555555555555556,0.9528,0.0076,0.9604
0.0,0.6666666666666666,0.9586,0.0026,0.9612
0.0,0.7777777777777777,0.944,0.0122,0.9561999999999999
0.0,0.8888888888888888,0.9542,0.0022,0.9564
0.0,1.0,0.9584,0.0014,0.9598
0.1111111111111111,0.0,0.9378,0.0004,0.9381999999999999
0.1111111111111111,0.1111111111111111,0.9232,0.013,0.9362
0.1111111111111111,0.2222222222222222,0.94,0.0066,0.9466
0.1111111111111111,0.3333333333333333,0.9354,0.008,0.9434
0.1111111111111111,0.4444444444444444,0.935,0.0048,0.9398000000000001
0.1111111111111111,0.5555555555555556,0.9396,0.0014,0.941
0.1111111111111111,0.6666666666666666,0.9394,0.0022,0.9416
0.1111111111111111,0.7777777777777777,0.93,0.0082,0.9382
0.1111111111111111,0.8888888888888888,0.945,0.0054,0.9503999999999999
0.1111111111111111,1.0,0.935,0.0056,0.9406000000000001
0.2222222222222222,0.0,0.9198,0.0096,0.9294
0.2222222222222222,0.1111111111111111,0.9072,0.0092,0.9164
0.2222222222222222,0.2222222222222222,0.9218,0.0036,0.9254
0.2222222222222222,0.3333333333333333,0.9238,0.007,0.9308
0.2222222222222222,0.4444444444444444,0.9236,0.0046,0.9282
0.2222222222222222,0.5555555555555556,0.9274,0.0036,0.931
0.2222222222222222,0.6666666666666666,0.922,0.0024,0.9244
0.2222222222222222,0.7777777777777777,0.913,0.015,0.928
0.2222222222222222,0.8888888888888888,0.9254,0.004,0.9294
0.2222222222222222,1.0,0.9174,0.0022,0.9196
0.3333333333333333,0.0,0.9006,0.0102,0.9107999999999999
0.3333333333333333,0.1111111111111111,0.8844,0.0106,0.895
0.3333333333333333,0.2222222222222222,0.8974,0.007,0.9044
0.3333333333333333,0.3333333333333333,0.9048,0.0064,0.9112
0.3333333333333333,0.4444444444444444,0.8968,0.0054,0.9022
0.3333333333333333,0.5555555555555556,0.9066,0.0034,0.9099999999999999
0.3333333333333333,0.6666666666666666,0.8878,0.0072,0.895
0.3333333333333333,0.7777777777777777,0.8978,0.0074,0.9052
0.3333333333333333,0.8888888888888888,0.9032,0.002,0.9052
0.3333333333333333,1.0,0.9042,0.0056,0.9098
0.4444444444444444,0.0,0.8374,0.0368,0.8742000000000001
0.4444444444444444,0.1111111111111111,0.8824,0.0086,0.891
0.4444444444444444,0.2222222222222222,0.868,0.009,0.877
0.4444444444444444,0.3333333333333333,0.877,0.0128,0.8898
0.4444444444444444,0.4444444444444444,0.8816,0.0074,0.889
0.4444444444444444,0.5555555555555556,0.8814,0.007,0.8884
0.4444444444444444,0.6666666666666666,0.879,0.004,0.883
0.4444444444444444,0.7777777777777777,0.888,0.003,0.891
0.4444444444444444,0.8888888888888888,0.8844,0.0048,0.8892
0.4444444444444444,1.0,0.9024,0.0058,0.9082
0.5555555555555556,0.0,0.8822,0.0126,0.8948
0.5555555555555556,0.1111111111111111,0.8718,0.0104,0.8822
0.5555555555555556,0.2222222222222222,0.8378,0.0172,0.855
0.5555555555555556,0.3333333333333333,0.8618,0.0054,0.8672
0.5555555555555556,0.4444444444444444,0.8338,0.0326,0.8664
0.5555555555555556,0.5555555555555556,0.8836,0.0102,0.8938
0.5555555555555556,0.6666666666666666,0.8608,0.0038,0.8646
0.5555555555555556,0.7777777777777777,0.8662,0.0068,0.873
0.5555555555555556,0.8888888888888888,0.8868,0.0048,0.8916000000000001
0.5555555555555556,1.0,0.868,0.0078,0.8758
0.6666666666666666,0.0,0.84,0.0058,0.8458
0.6666666666666666,0.1111111111111111,0.8394,0.008,0.8474
0.6666666666666666,0.2222222222222222,0.8382,0.0348,0.873
0.6666666666666666,0.3333333333333333,0.8014,0.0198,0.8212
0.6666666666666666,0.4444444444444444,0.8546,0.0028,0.8574
0.6666666666666666,0.5555555555555556,0.8516,0.0058,0.8574
0.6666666666666666,0.6666666666666666,0.8596,0.0046,0.8642000000000001
0.6666666666666666,0.7777777777777777,0.8308,0.0038,0.8346
0.6666666666666666,0.8888888888888888,0.868,0.005,0.873
0.6666666666666666,1.0,0.859,0.0036,0.8626
0.7777777777777777,0.0,0.8268,0.0058,0.8326
0.7777777777777777,0.1111111111111111,0.8416,0.004,0.8456
0.7777777777777777,0.2222222222222222,0.833,0.0092,0.8422
0.7777777777777777,0.3333333333333333,0.8556,0.0112,0.8668
0.7777777777777777,0.4444444444444444,0.8426,0.017,0.8596
0.7777777777777777,0.5555555555555556,0.836,0.0102,0.8462
0.7777777777777777,0.6666666666666666,0.8258,0.0074,0.8331999999999999
0.7777777777777777,0.7777777777777777,0.8372,0.003,0.8402000000000001
0.7777777777777777,0.8888888888888888,0.8598,0.004,0.8638
0.7777777777777777,1.0,0.8448,0.0076,0.8524
0.8888888888888888,0.0,0.8092,0.0244,0.8336
0.8888888888888888,0.1111111111111111,0.8112,0.0066,0.8178000000000001
0.8888888888888888,0.2222222222222222,0.8352,0.013,0.8482000000000001
0.8888888888888888,0.3333333333333333,0.8282,0.0038,0.8320000000000001
0.8888888888888888,0.4444444444444444,0.7834,0.0058,0.7892
0.8888888888888888,0.5555555555555556,0.8084,0.0178,0.8262
0.8888888888888888,0.6666666666666666,0.7828,0.0204,0.8032
0.8888888888888888,0.7777777777777777,0.798,0.0094,0.8074
0.8888888888888888,0.8888888888888888,0.8234,0.0014,0.8248
0.8888888888888888,1.0,0.7726,0.0186,0.7911999999999999
1.0,0.0,0.7996,0.0072,0.8068
1.0,0.1111111111111111,0.7794,0.0236,0.8029999999999999
1.0,0.2222222222222222,0.773,0.0206,0.7936
1.0,0.3333333333333333,0.816,0.0028,0.8188
1.0,0.4444444444444444,0.7916,0.0204,0.8119999999999999
1.0,0.5555555555555556,0.7848,0.0024,0.7872
1.0,0.6666666666666666,0.779,0.012,0.791
1.0,0.7777777777777777,0.7642,0.0086,0.7728
1.0,0.8888888888888888,0.7836,0.0074,0.7909999999999999
1.0,1.0,0.8248,0.0012,0.826
